tile_id,if1_center_hz,bw_hz,rf_center_hz,lo1_hz,lo1_mode,lo1_vco_div,lo1_drive_dbm,lo1_pad_db,lo1_side,lo2_hz,lo2_mode,lo2_vco_div,lo2_drive_dbm,lo2_pad_db,lo2_side,spur_margin_db,margin,brittleness_db_per_step,lock_time_ms_tile,if2_center_hz,if2_bw_hz,if2_model_type,rf_bpf_id,desired_stage1_tuple,desired_stage2_tuple,notes
17,1150000000.0,400000000.0,29200000000.0,6300000000.0,fracN,1,1.0,0.0,low,21750000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
18,1150000000.0,400000000.0,29300000000.0,6300000000.0,fracN,1,1.0,0.0,low,21850000000.0,fracN,1,14.0,0.0,low,0.5006399750709534,0.5006399750709534,0.0006399750709533691,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
19,1150000000.0,400000000.0,29400000000.0,6300000000.0,fracN,1,1.0,0.0,low,21950000000.0,fracN,1,14.0,0.0,low,0.5,0.5,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
20,1150000000.0,400000000.0,29500000000.0,6300000000.0,fracN,1,1.0,0.0,low,22050000000.0,fracN,1,14.0,0.0,low,0.6993511319160461,0.6993511319160461,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
21,1150000000.0,400000000.0,29600000000.0,6300000000.0,fracN,1,1.0,0.0,low,22150000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
22,1150000000.0,400000000.0,29700000000.0,6300000000.0,fracN,1,1.0,0.0,low,22250000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
23,1150000000.0,400000000.0,29800000000.0,6300000000.0,fracN,1,1.0,0.0,low,22350000000.0,fracN,1,14.0,0.0,low,19.0,19.0,18.30000001192093,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
24,1150000000.0,400000000.0,29900000000.0,6300000000.0,fracN,1,1.0,0.0,low,22450000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
25,1150000000.0,400000000.0,30000000000.0,6300000000.0,fracN,1,1.0,0.0,low,22550000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
26,1150000000.0,400000000.0,30100000000.0,6300000000.0,fracN,1,1.0,0.0,low,22650000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
27,1150000000.0,400000000.0,30200000000.0,6300000000.0,fracN,1,1.0,0.0,low,22750000000.0,fracN,1,14.0,0.0,low,0.7996600270271301,0.7996600270271301,0.0013200044631958008,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
28,1150000000.0,400000000.0,30300000000.0,6300000000.0,fracN,1,1.0,0.0,low,22850000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
29,1150000000.0,400000000.0,30400000000.0,6300000000.0,fracN,1,1.0,0.0,low,22950000000.0,fracN,1,14.0,0.0,low,0.800000011920929,0.800000011920929,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
30,1150000000.0,400000000.0,30500000000.0,6300000000.0,fracN,1,1.0,0.0,low,23050000000.0,fracN,1,14.0,0.0,low,0.8996533155441284,0.8996533155441284,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
31,1150000000.0,400000000.0,30600000000.0,6300000000.0,fracN,1,1.0,0.0,low,23150000000.0,fracN,1,14.0,0.0,low,1.1993021965026855,1.1993021965026855,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
32,1150000000.0,400000000.0,30700000000.0,6300000000.0,fracN,1,1.0,0.0,low,23250000000.0,fracN,1,14.0,0.0,low,1.5989466905593872,1.5989466905593872,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
33,1150000000.0,400000000.0,30800000000.0,6300000000.0,fracN,1,1.0,0.0,low,23350000000.0,fracN,1,14.0,0.0,low,4.392933368682861,4.392933368682861,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
34,1150000000.0,400000000.0,30900000000.0,6300000000.0,fracN,1,1.0,0.0,low,23450000000.0,fracN,1,14.0,0.0,low,10.587911605834961,10.587911605834961,0.0,3.2,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
35,1150000000.0,400000000.0,31000000000.0,6300000000.0,fracN,1,1.0,0.0,low,23550000000.0,fracN,1,14.0,0.0,low,0.005447519713186466,0.005447519713186466,0.034000396728515625,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
36,1200000000.0,400000000.0,27500000000.0,6250000000.0,fracN,1,1.0,0.0,low,20050000000.0,fracN,1,14.0,0.0,low,4.699999988079071,4.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
37,1200000000.0,400000000.0,27600000000.0,6250000000.0,fracN,1,1.0,0.0,low,20150000000.0,fracN,1,14.0,0.0,low,4.750340580940247,4.750340580940247,0.003000020980834961,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
38,1200000000.0,400000000.0,27700000000.0,6250000000.0,fracN,1,1.0,0.0,low,20250000000.0,fracN,1,14.0,0.0,low,4.800000011920929,4.800000011920929,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
39,1200000000.0,400000000.0,27800000000.0,6250000000.0,fracN,1,1.0,0.0,low,20350000000.0,fracN,1,14.0,0.0,low,4.949652791023254,4.949652791023254,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
40,1200000000.0,400000000.0,27900000000.0,6250000000.0,fracN,1,1.0,0.0,low,20450000000.0,fracN,1,14.0,0.0,low,5.448948383331299,5.448948383331299,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
41,1200000000.0,400000000.0,28000000000.0,6250000000.0,fracN,1,1.0,0.0,low,20550000000.0,fracN,1,14.0,0.0,low,9.790091037750244,9.790091037750244,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
42,1200000000.0,400000000.0,28100000000.0,6250000000.0,fracN,1,1.0,0.0,low,20650000000.0,fracN,1,14.0,0.0,low,19.0,19.0,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
43,1200000000.0,400000000.0,28200000000.0,6250000000.0,fracN,1,1.0,0.0,low,20750000000.0,fracN,1,14.0,0.0,low,16.210935592651367,16.210935592651367,0.07570457458496094,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
44,1200000000.0,400000000.0,28300000000.0,6250000000.0,fracN,1,1.0,0.0,low,20850000000.0,fracN,1,14.0,0.0,low,8.411911010742188,8.411911010742188,0.07489299774169922,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
45,1200000000.0,400000000.0,28400000000.0,6250000000.0,fracN,1,1.0,0.0,low,20950000000.0,fracN,1,14.0,0.0,low,2.606299877166748,2.606299877166748,0.024999618530273438,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
46,1200000000.0,400000000.0,28500000000.0,6250000000.0,fracN,1,1.0,0.0,low,21050000000.0,fracN,1,14.0,0.0,low,1.3006044626235962,1.3006044626235962,0.003999948501586914,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
47,1200000000.0,400000000.0,28600000000.0,6250000000.0,fracN,1,1.0,0.0,low,21150000000.0,fracN,1,14.0,0.0,low,1.0003044605255127,1.0003044605255127,0.001999974250793457,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
48,1200000000.0,400000000.0,28700000000.0,6250000000.0,fracN,1,1.0,0.0,low,21250000000.0,fracN,1,14.0,0.0,low,0.8003066778182983,0.8003066778182983,0.00030666589736938477,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
49,1200000000.0,400000000.0,28800000000.0,6250000000.0,fracN,1,1.0,0.0,low,21350000000.0,fracN,1,14.0,0.0,low,0.800000011920929,0.800000011920929,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
50,1200000000.0,400000000.0,28900000000.0,6250000000.0,fracN,1,1.0,0.0,low,21450000000.0,fracN,1,14.0,0.0,low,0.800000011920929,0.800000011920929,0.0016888976097106934,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
51,1200000000.0,400000000.0,29000000000.0,6250000000.0,fracN,1,1.0,0.0,low,21550000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
52,1200000000.0,400000000.0,29100000000.0,6250000000.0,fracN,1,1.0,0.0,low,21650000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
53,1200000000.0,400000000.0,29200000000.0,6250000000.0,fracN,1,1.0,0.0,low,21750000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
54,1200000000.0,400000000.0,29300000000.0,6250000000.0,fracN,1,1.0,0.0,low,21850000000.0,fracN,1,14.0,0.0,low,0.5006399750709534,0.5006399750709534,0.0006399750709533691,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
55,1200000000.0,400000000.0,29400000000.0,6250000000.0,fracN,1,1.0,0.0,low,21950000000.0,fracN,1,14.0,0.0,low,0.5,0.5,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
56,1200000000.0,400000000.0,29500000000.0,6250000000.0,fracN,1,1.0,0.0,low,22050000000.0,fracN,1,14.0,0.0,low,0.6993511319160461,0.6993511319160461,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
57,1200000000.0,400000000.0,29600000000.0,6250000000.0,fracN,1,1.0,0.0,low,22150000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
58,1200000000.0,400000000.0,29700000000.0,6250000000.0,fracN,1,1.0,0.0,low,22250000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
59,1200000000.0,400000000.0,29800000000.0,6250000000.0,fracN,1,1.0,0.0,low,22350000000.0,fracN,1,14.0,0.0,low,19.0,19.0,18.30000001192093,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
60,1200000000.0,400000000.0,29900000000.0,6250000000.0,fracN,1,1.0,0.0,low,22450000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
61,1200000000.0,400000000.0,30000000000.0,6250000000.0,fracN,1,1.0,0.0,low,22550000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
62,1200000000.0,400000000.0,30100000000.0,6250000000.0,fracN,1,1.0,0.0,low,22650000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
63,1200000000.0,400000000.0,30200000000.0,6250000000.0,fracN,1,1.0,0.0,low,22750000000.0,fracN,1,14.0,0.0,low,0.7996600270271301,0.7996600270271301,0.0013200044631958008,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
64,1200000000.0,400000000.0,30300000000.0,6250000000.0,fracN,1,1.0,0.0,low,22850000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
65,1200000000.0,400000000.0,30400000000.0,6250000000.0,fracN,1,1.0,0.0,low,22950000000.0,fracN,1,14.0,0.0,low,0.800000011920929,0.800000011920929,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
66,1200000000.0,400000000.0,30500000000.0,6250000000.0,fracN,1,1.0,0.0,low,23050000000.0,fracN,1,14.0,0.0,low,0.8996533155441284,0.8996533155441284,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
67,1200000000.0,400000000.0,30600000000.0,6250000000.0,fracN,1,1.0,0.0,low,23150000000.0,fracN,1,14.0,0.0,low,1.1993021965026855,1.1993021965026855,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
68,1200000000.0,400000000.0,30700000000.0,6250000000.0,fracN,1,1.0,0.0,low,23250000000.0,fracN,1,14.0,0.0,low,1.5989466905593872,1.5989466905593872,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
69,1200000000.0,400000000.0,30800000000.0,6250000000.0,fracN,1,1.0,0.0,low,23350000000.0,fracN,1,14.0,0.0,low,4.392933368682861,4.392933368682861,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
70,1200000000.0,400000000.0,30900000000.0,6250000000.0,fracN,1,1.0,0.0,low,23450000000.0,fracN,1,14.0,0.0,low,10.587911605834961,10.587911605834961,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
71,1200000000.0,400000000.0,31000000000.0,6250000000.0,fracN,1,1.0,0.0,low,23550000000.0,fracN,1,14.0,0.0,low,0.005447519713186466,0.005447519713186466,0.034000396728515625,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
72,1250000000.0,400000000.0,27500000000.0,6200000000.0,fracN,1,1.0,0.0,low,20050000000.0,fracN,1,14.0,0.0,low,4.699999988079071,4.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
73,1250000000.0,400000000.0,27600000000.0,6200000000.0,fracN,1,1.0,0.0,low,20150000000.0,fracN,1,14.0,0.0,low,4.750340580940247,4.750340580940247,0.003000020980834961,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
74,1250000000.0,400000000.0,27700000000.0,6200000000.0,fracN,1,1.0,0.0,low,20250000000.0,fracN,1,14.0,0.0,low,4.800000011920929,4.800000011920929,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
75,1250000000.0,400000000.0,27800000000.0,6200000000.0,fracN,1,1.0,0.0,low,20350000000.0,fracN,1,14.0,0.0,low,4.949652791023254,4.949652791023254,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
76,1250000000.0,400000000.0,27900000000.0,6200000000.0,fracN,1,1.0,0.0,low,20450000000.0,fracN,1,14.0,0.0,low,5.448948383331299,5.448948383331299,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
77,1250000000.0,400000000.0,28000000000.0,6200000000.0,fracN,1,1.0,0.0,low,20550000000.0,fracN,1,14.0,0.0,low,9.790091037750244,9.790091037750244,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
78,1250000000.0,400000000.0,28100000000.0,6200000000.0,fracN,1,1.0,0.0,low,20650000000.0,fracN,1,14.0,0.0,low,14.75031167268753,14.75031167268753,0.0009999871253967285,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
79,1250000000.0,400000000.0,28200000000.0,6200000000.0,fracN,1,1.0,0.0,low,20750000000.0,fracN,1,14.0,0.0,low,14.699999988079071,14.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
80,1250000000.0,400000000.0,28300000000.0,6200000000.0,fracN,1,1.0,0.0,low,20850000000.0,fracN,1,14.0,0.0,low,8.411911010742188,8.411911010742188,0.07489299774169922,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
81,1250000000.0,400000000.0,28400000000.0,6200000000.0,fracN,1,1.0,0.0,low,20950000000.0,fracN,1,14.0,0.0,low,2.606299877166748,2.606299877166748,0.024999618530273438,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
82,1250000000.0,400000000.0,28500000000.0,6200000000.0,fracN,1,1.0,0.0,low,21050000000.0,fracN,1,14.0,0.0,low,1.3006044626235962,1.3006044626235962,0.003999948501586914,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
83,1250000000.0,400000000.0,28600000000.0,6200000000.0,fracN,1,1.0,0.0,low,21150000000.0,fracN,1,14.0,0.0,low,1.0003044605255127,1.0003044605255127,0.001999974250793457,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
84,1250000000.0,400000000.0,28700000000.0,6200000000.0,fracN,1,1.0,0.0,low,21250000000.0,fracN,1,14.0,0.0,low,0.8003066778182983,0.8003066778182983,0.00030666589736938477,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
85,1250000000.0,400000000.0,28800000000.0,6200000000.0,fracN,1,1.0,0.0,low,21350000000.0,fracN,1,14.0,0.0,low,0.800000011920929,0.800000011920929,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
86,1250000000.0,400000000.0,28900000000.0,6200000000.0,fracN,1,1.0,0.0,low,21450000000.0,fracN,1,14.0,0.0,low,0.800000011920929,0.800000011920929,0.0016888976097106934,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
87,1250000000.0,400000000.0,29000000000.0,6200000000.0,fracN,1,1.0,0.0,low,21550000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
88,1250000000.0,400000000.0,29100000000.0,6200000000.0,fracN,1,1.0,0.0,low,21650000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
89,1250000000.0,400000000.0,29200000000.0,6200000000.0,fracN,1,1.0,0.0,low,21750000000.0,fracN,1,14.0,0.0,low,0.699999988079071,0.699999988079071,0.0,3.0,7450000000.0,400000000.0,symmetric_powerlaw,RF_S21_28to31GHz.csv,"(1, 1)","(1, 1)",
